id,Date,Page,Title,Category,URL
1,2024/01/02,1,Tech Stocks Drop to Start 2024,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-02-2024-5d7517dc
2,2024/01/03,1,"Fed Minutes Suggest Rate Hikes Are Over, but Offer No Timetable on Cuts",U.S. Economy,https://www.wsj.com/economy/central-banking/fed-minutes-suggest-hikes-are-over-but-offer-no-timetable-on-cuts-1972be7b
3,2024/01/03,1,Stocks Fall in New Year,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-03-2024-1a944ec6
4,2024/01/03,1,Finding a New Job Is Getting Harder,U.S. Economy,https://www.wsj.com/economy/jobs/finding-a-new-job-is-getting-harder-499dcf8e
5,2024/01/04,1,Tech Stocks Extend Their New Year Stumble,U.S. Markets,https://www.wsj.com/finance/stocks/tech-stocks-extend-their-new-year-stumble-bb19fe8a
6,2024/01/05,1,Stocks End Rough Week on High Note After Jobs Report,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-05-2023-11cecd20
7,2024/01/08,1,Tech Giants Drive Stock Rebound,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-08-2024-60643316
8,2024/01/09,1,"Nasdaq Edges Higher, Continuing Climb",U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-09-2024-3021de51
9,2024/01/10,1,S&P 500 Inches Closer to Record High,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-10-2024-6ab82361
10,2024/01/11,1,Inflation Edged Up in December After Rapid Cooling Most of 2023,U.S. Economy,https://www.wsj.com/economy/us-inflation-consumer-price-index-december-2023-c4ac6a19
11,2024/01/11,1,Stocks Finish Roughly Flat After Inflation Data,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-11-2024-3986db5d
12,2024/01/12,1,S&P 500 Falls Short of Record Despite Weekly Gain,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-12-2024-0bee59cf
13,2024/01/13,1,"How Iowa’s Economy Is Faring Heading Into the Caucuses, in Seven Charts",U.S. Economy,https://www.wsj.com/economy/how-iowas-economy-is-faring-heading-into-the-caucuses-in-seven-charts-cef930ab
14,2024/01/15,1,"Stocks in Japan, India Notch Historic Highs; U.S. Markets to Reopen Tuesday",U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-15-2024-b4cb6b37
15,2024/01/15,1,Fed Tiptoes Toward Dialing Back Key Channel of Monetary Tightening,U.S. Economy,https://www.wsj.com/economy/central-banking/fed-tiptoes-toward-dialing-back-key-channel-of-monetary-tightening-55127982
16,2024/01/16,1,Broad Losses Pull Stock Indexes Lower,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-16-2024-5cc239e2
17,2024/01/17,1,Stocks Fall on Rate-Cut Pessimism,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-17-2024-bee07db5
18,2024/01/17,1,Consumers Start 2024 on Strong Footing After a Jolly Holiday,U.S. Economy,https://www.wsj.com/economy/consumers/us-retail-sales-report-2024-030eaa0a
19,2024/01/18,1,Stocks Advance After Tech Shares Lift Nasdaq,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-18-2024-12020f90
20,2024/01/19,1,"S&P 500 Climbs 1.2%, Hits Record",U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-19-2024-1480a097
21,2024/01/19,1,Americans Are Suddenly a Lot More Upbeat About the Economy,U.S. Economy,https://www.wsj.com/economy/consumers/americans-are-finally-feeling-better-about-the-economy-e964804f
22,2024/01/19,1,Home Sales Were the Lowest in Almost 30 Years in 2023,U.S. Economy,https://www.wsj.com/economy/housing/home-sales-likely-fell-to-15-year-low-in-2023-3da220e1
23,2024/01/21,1,Labor Supply Helped Tame Inflation. It Might Not Have Much More to Give.,U.S. Economy,https://www.wsj.com/economy/jobs/labor-supply-helped-tame-inflation-it-might-not-have-much-more-to-give-0d694844
24,2024/01/22,1,Dow Climbs Above 38000 to a Record; S&P 500 Reaches High,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-22-2024-0d2b981f
25,2024/01/23,1,S&P 500 Rises to Fresh Record,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-23-2024-0ad6a147
26,2024/01/24,1,S&P 500 Notches Fourth-Straight Record,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-24-2024-0998cc2d
27,2024/01/25,1,Surprisingly Strong Economy Pushes S&P 500 to Another Record,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-25-2024-bd127fa8
28,2024/01/25,2,What Recession? Growth Ended Up Accelerating in 2023,U.S. Economy,https://www.wsj.com/economy/gdp-us-economy-fourth-quarter-2023-9fc372f0
29,2024/01/25,2,"We Tried the IRS’s New, Free TurboTax Alternative. It’s Probably Not for You This Year.",U.S. Economy,https://www.wsj.com/personal-finance/taxes/can-the-irss-new-free-tax-filing-tool-replace-turbotax-we-tried-it-out-77a6b243
30,2024/01/26,1,Stocks Notch Weekly Gains; Major Indexes Sit Near Records,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-26-2024-05099cf8
31,2024/01/26,2,Cooler Inflation Keeps Door Open for Rate Cuts This Year,U.S. Economy,https://www.wsj.com/economy/central-banking/what-to-watch-in-fridays-spending-report-a-last-look-at-inflation-before-the-fed-meeting-353665d9
32,2024/01/29,1,S&P 500 Starts Busy Week With Fresh Record,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-29-2024-368ad121
33,2024/01/30,1,S&P 500 Backs Off Record After Tech Shares Drop,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-30-2024-6bdb807e
34,2024/01/30,2,Job Quitting Fell 12% Last Year—and That’s Bad News for the Economy,U.S. Economy,https://www.wsj.com/economy/jobs/fewer-workers-are-quitting-heres-what-that-means-for-the-economy-82e6c55b
35,2024/01/30,2,Home-Price Growth Accelerated in November,U.S. Economy,https://www.wsj.com/economy/housing/home-price-growth-accelerated-in-november-d82d828d
36,2024/01/31,1,Fed Signals Cuts Are Possible but Not Imminent as It Holds Rates Steady,U.S. Economy,https://www.wsj.com/economy/central-banking/fed-leaves-rates-steady-and-opens-door-wider-to-cuts-d10a107d
37,2024/01/31,1,Stocks Start 2024 With Third Straight Month of Gains,U.S. Markets,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-31-2024-e0dcca54
38,2024/01/31,2,Where Are Interest Rates Headed? What to Expect From the Fed Meeting,U.S. Economy,https://www.wsj.com/economy/central-banking/federal-reserve-meeting-interest-rates-inflation-f46b5d41
